model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.950326668408183,198.83622110333695,0.0047794444248379165,0.94095912946939,0.9596942073469761,0.0,0.03406489133195285,1.029328847293653,0.033094274411445315,-0.03079869460896547,0.09892847727287116,0.30332517203147413
calibrated_nb,0.9506445513028559,199.75389795909578,0.0047590788516053,0.9413169281541233,0.9599721744515884,0.0,-5.95812689391193e-06,-7.495246927162428e-06,0.7949206946498258,-1.558021890206114,1.5580099739523263,0.9999940196581975
xgb,0.9506445513700094,199.7497434880956,0.004759177833070232,0.9413167342211703,0.9599723685188484,0.0,4.41447223612491e-05,7.325175382094205e-05,0.6026438966793516,-1.1811161882720453,1.1812044777167676,0.9999415535566268
calibrated_xgb,0.9506445424519784,199.74867830592694,0.004759203167272076,0.9413166756490161,0.9599724092549407,0.0,7.82806197899944e-05,0.0001437791473414571,0.5444504383106956,-1.0670249698362197,1.0671815310758,0.9998852808385661
