model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.9506444495822642,199.74145997100368,0.0047593746922660355,0.9413162465964914,0.9599726525680371,0.0,0.00046344142525699806,0.0020475922822609893,0.22633481737158015,-0.44314464907049067,0.4440715319210047,0.9983662588727781
calibrated_nb,0.9506445408334978,199.75372685658107,0.004759082875665396,0.9413169097977523,0.9599721718692433,0.0,8.497439574630537e-05,0.00011000775749463498,0.7724400322445399,-1.51386966902051,1.5140396178120026,0.9999122265089035
xgb,0.950644538912661,199.75307102324348,0.004759098491166841,0.941316877271095,0.9599722005542269,0.0,7.777819197463051e-05,0.0001036651573176369,0.7502828721545561,-1.4704496294482252,1.4706051858321743,0.9999172871716312
calibrated_xgb,0.9506445380090915,199.75268224941212,0.004759107749162098,0.9413168582221884,0.9599722177959947,0.0,8.214000012187345e-05,0.00011899947943739819,0.6902551213687004,-1.3527930380268547,1.3529573180270984,0.9999050521528374
