topic,pval_lag0_train,corr_lag0_train,pval_lag1_train,corr_lag1_train
topic_0,0.0,-0.0763,0.0,-0.0292
topic_1,0.0,0.022,0.0,0.0189
topic_2,0.0,-0.0993,0.0,0.0208
topic_3,0.0,0.0105,0.0,0.031
topic_4,0.0,0.0294,0.0,0.0358
topic_5,0.0,0.0077,0.0,0.0139
topic_6,0.0,-0.0415,0.0,0.0078
topic_7,0.0,0.0294,0.0,0.0358
topic_8,0.0,0.0628,0.0,0.0153
topic_9,0.0,0.1062,0.0,0.041
topic_10,0.0,-0.0137,0.2583,0.0033
topic_11,0.0,0.0984,0.0,0.0455
topic_12,0.0,-0.0894,0.0,0.008
topic_13,0.0,0.0188,0.0,0.0106
topic_14,0.0,0.0352,0.0,0.0169
topic_15,0.0,0.0631,0.0,0.0178
topic_16,0.0,0.03,0.0002,0.0057
topic_17,0.0,0.0123,0.0,0.039
topic_18,0.0,0.0881,0.0,0.0358
topic_19,0.0,-0.0421,0.0,-0.0147
topic_20,1.0,-0.0005,1.0,0.0023
topic_21,0.0,-0.0216,1.0,-0.0004
topic_22,0.0,0.0243,0.0,0.0343
topic_23,0.0,0.0293,0.0,0.021
topic_24,0.0,-0.0083,0.0002,0.0056
topic_25,0.0,-0.1669,0.0,-0.0218
topic_26,0.0,0.3911,0.0,0.0725
topic_27,0.0,0.0671,0.0,0.0384
topic_28,0.0,-0.0121,1.0,0.0015
topic_29,1.0,-0.002,0.0,0.0095
