topic,pval_lag0_train,corr_lag0_train,pval_lag1_train,corr_lag1_train
topic_0,0.0,0.0251,0.0,0.0179
topic_1,0.1826,0.0035,0.0,0.0119
topic_2,0.0,0.0753,0.0,0.0375
topic_3,0.0007,-0.0053,0.0,0.0077
topic_4,0.0,0.119,0.0,0.0434
topic_5,0.0,-0.0422,0.5058,0.0031
topic_6,0.0,-0.0704,0.0,-0.0269
topic_7,0.0,0.0645,0.0,0.0226
topic_8,0.0,0.1965,0.0,0.0298
topic_9,0.0,0.2191,0.0,0.0452
topic_10,0.0,0.0173,0.0,0.0214
topic_11,0.0,0.0294,0.0,0.0358
topic_12,0.0,-0.0684,0.0,-0.008
topic_13,1.0,-0.0013,0.0,0.0171
topic_14,0.0,-0.0872,0.0,0.0466
topic_15,0.0,-0.028,0.0,0.0079
topic_16,0.0,0.0113,1.0,0.0017
topic_17,0.0,0.2986,0.0,0.0553
topic_18,0.0,0.2382,0.0,0.029
topic_19,0.0,-0.0077,0.0,0.01
topic_20,0.0,0.028,0.0,0.0102
topic_21,0.8352,0.0029,1.0,-0.0018
topic_22,0.0,0.1109,0.0,0.0246
topic_23,0.0,0.0234,0.0,0.0103
topic_24,0.0,-0.0437,0.0,-0.0115
topic_25,0.0,-0.0449,0.0,0.0125
topic_26,0.0,0.3041,0.0,0.0591
topic_27,0.0002,0.0057,0.0,0.0114
topic_28,0.0,-0.0585,0.0,-0.0076
topic_29,0.0,0.0941,0.0,0.0232
topic_30,0.0,-0.1783,0.0,-0.0238
topic_31,0.0,0.0746,0.0,0.0358
topic_32,0.0,-0.0154,0.1336,0.0036
topic_33,0.0,-0.0459,0.0,0.0157
topic_34,0.0,-0.0062,0.0,0.0161
topic_35,0.0,-0.0815,0.0,-0.032
topic_36,0.0,0.0377,0.0,0.0215
topic_37,0.0,0.0294,0.0,0.0358
topic_38,0.0,0.0113,0.0,0.0148
topic_39,0.0,0.0848,0.0,0.0374
