model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.9503245900470306,199.431744060403,0.004765162108591903,0.9409850439336955,0.9596641361603657,0.0,0.08027465239899752,1.8378611776329137,0.04367830028511067,-0.005333243065744966,0.16588254786374002,0.06608286403411226
calibrated_nb,0.950644540068824,199.7526873047118,0.004759107639030998,0.9413168604977739,0.9599722196398742,0.0,5.6971043084411155e-05,6.55228999566773e-05,0.8694829307323013,-1.7040982583645607,1.7042122004507296,0.999947720289783
xgb,0.950644341623309,199.67933917945126,0.004760854806159828,0.9413132376676113,0.9599754455790067,0.0,0.0006418004556895756,0.001773954825858184,0.36179075494726454,-0.7084550491805053,0.7097386500918845,0.998584589575249
calibrated_xgb,0.9496789481290875,199.35132291512554,0.004763845728445034,0.9403419820734302,0.9590159141847447,0.0,0.9986970057727712,4.877441308587422,0.20475838510130803,0.5973779454416247,1.4000160661039178,1.0747081087639355e-06
