model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.950609914339177,198.20772156392368,0.0047960286654755635,0.9412098708860231,0.9600099577923308,0.0,0.012209759039616547,0.4543881312901484,0.026870770160631764,-0.040455982712075275,0.06487550079130837,0.6495494933590631
calibrated_nb,0.9506445346893876,199.7503966559326,0.004759162187431648,0.9413167482054366,0.9599723211733385,0.0,0.00010572256890019247,0.00016411986078246533,0.6441790067097591,-1.2624619301790134,1.262673375316814,0.9998690512975484
xgb,0.9506445064932224,199.73286012811508,0.004759579900290059,0.9413159013071132,0.9599731116793316,0.0,0.0002757890310337644,0.0005350810914662099,0.5154153929791413,-1.0099198182856417,1.0104713963477094,0.9995730670787142
calibrated_xgb,0.9506444684482176,199.7226423440832,0.00475982320928061,0.9413153863852497,0.9599735505111855,0.0,0.0003875233866044889,0.000950239337475722,0.40781661137491043,-0.7989183472053877,0.7996933939785967,0.9992418188176612
