model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.9506637693451552,199.41798235401313,0.004767191795459582,0.9413202451186595,0.9600072935716508,0.0,0.044281164754561474,0.753153888627491,0.05879431205654026,-0.07095356937206651,0.15951589888118947,0.4513574448453179
calibrated_nb,0.9506445409309843,199.7548933735712,0.004759055084338476,0.9413169643652386,0.95997211749673,0.0,5.17400094423448e-05,6.2088495779846e-05,0.8333268312024346,-1.6332388364982182,1.633342316517103,0.9999504605478456
xgb,0.9506445400735043,199.75472206136072,0.004759059161472463,0.9413169555167229,0.9599721246302857,0.0,7.139561004232502e-05,9.931625446870665e-05,0.7188713511625724,-1.4088905621862453,1.4090333534063302,0.9999207570940529
calibrated_xgb,0.9506445394904555,199.75451098924702,0.004759064187249466,0.9413169450833321,0.9599721338975788,0.0,8.070008984353459e-05,0.00012063096728353128,0.6689831944550102,-1.311102267304532,1.311263667484219,0.9999037504138832
