model,beta_hat,beta_z_stat,beta_se,beta_ci_lower,beta_ci_upper,beta_p_val,gamma_hat,gamma_z_stat,gamma_se,gamma_ci_lower,gamma_ci_upper,gamma_p_val
baseline,0.9506445419097467,199.75611757376558,0.004759025923492402,0.9413170224982091,0.9599720613212842,0.0,,,,,,
nb,0.9501822707552138,198.52797849423834,0.004786137842947864,0.9408016129579917,0.9595629285524359,0.0,0.034462705764323115,1.2783615117604479,0.02695849761376505,-0.01837497863596537,0.08730039016461161,0.20112198823855254
calibrated_nb,0.9506445368330751,199.75255941015433,0.0047591106699219074,0.9413168513215879,0.9599722223445624,0.0,9.904026857041915e-05,0.00015758375044258753,0.628492901661853,-1.2317244115277355,1.2319224920648761,0.9998742663590088
xgb,0.950644517604438,199.73721730697778,0.004759476127793373,0.9413161158086849,0.9599729194001911,0.0,0.000169769032559827,0.0003312976025832805,0.5124366467974999,-1.0041876030490124,1.0045271411141319,0.9997356627627033
calibrated_xgb,0.9506444966438062,199.73197280117415,0.004759600995831238,0.941315850111196,0.9599731431764165,0.0,0.00023058530268236024,0.0005242330799071015,0.43985263715754436,-0.8618647420310689,0.8623259126364337,0.9995817225384385
