topic,pval_lag0_train,corr_lag0_train,pval_lag1_train,corr_lag1_train
topic_0,0.0,-0.0366,1.0,-0.0007
topic_1,0.0,0.2314,0.0,0.0465
topic_2,0.0,-0.058,0.0077,-0.0044
topic_3,0.0,-0.0149,1.0,0.002
topic_4,0.0,-0.0645,0.0,0.0315
topic_5,0.0,-0.0248,1.0,0.001
topic_6,0.0,0.0583,0.0,0.0312
topic_7,0.0,0.0294,0.0,0.0358
topic_8,1.0,-0.0001,0.0009,0.0051
topic_9,0.0,0.0298,0.0,0.0358
topic_10,0.0,-0.0676,0.0,-0.0113
topic_11,0.0,0.0488,0.0,0.0275
topic_12,0.0,-0.1099,0.0,-0.0236
topic_13,0.0,-0.0074,0.0,0.0214
topic_14,0.0,-0.0429,0.0,0.0165
topic_15,0.0,0.1037,0.0,0.0303
topic_16,0.0,0.0147,0.9784,0.0024
topic_17,0.0,-0.1187,1.0,0.0001
topic_18,0.0,-0.0388,0.0,-0.0111
topic_19,0.0,-0.0325,0.0,-0.013
